# MW frequency [MHz],Photon counts number
2908.358,19298097
2908.387,19294394
2908.416,19296305
2908.446,19298789
2908.475,19299518
2908.504,19301038
2908.534,19295750
2908.563,19294926
2908.592,19298055
2908.622,19292440
2908.651,19295006
2908.680,19290154
2908.710,19297233
2908.739,19297745
2908.768,19293899
2908.798,19293979
2908.827,19299002
2908.856,19293784
2908.886,19296257
2908.915,19295257
2908.944,19292692
2908.974,19298377
2909.003,19292394
2909.032,19295676
2909.062,19298837
2909.091,19297833
2909.120,19297855
2909.150,19293385
2909.179,19286864
2909.208,19296233
2909.238,19292688
2909.267,19299601
2909.296,19302604
2909.326,19299535
2909.355,19297142
2909.384,19296023
2909.413,19298303
2909.443,19298814
2909.472,19298515
2909.501,19295654
2909.531,19295926
2909.560,19295216
2909.589,19292958
2909.619,19294115
2909.648,19291021
2909.677,19300226
2909.707,19300231
2909.736,19300390
2909.765,19297499
2909.795,19288834
2909.824,19292303
2909.853,19294619
2909.883,19298505
2909.912,19300573
2909.941,19296074
2909.971,19301126
2910.000,19296122
